   JobID  Arrival  Duration  TimeOut 
[0]  120    1    500    502  

[1]  121    1    10    11  

[2]  111    6    496    508  

[3]  115    6    9    509  

[4]  116    6    6    507  

[5]  119    6    450    500  

[6]  122    250    1    251  

[7]  135    501    7    515  

[8]  142    507    3    510  

[9]  132    600    7    608  

[10]  101    601    6    608  

[11]  102    601    5    608  

[12]  103    601    1    608  

[13]  104    601    3    608  

[14]  105    601    2    608  

[15]  106    601    1    608  

